rank_number,player_id
1,203999
2,203507
3,1629029
4,203954
5,1628369
6,1629027
7,1630169
8,201935
9,203076
10,203081
11,1627734
12,1627783
13,1629630
14,1627749
15,1628983
16,1628378
17,1626164
18,201939
19,201942
20,1629636
21,1628389
22,1628368
23,1630162
24,1627759
25,202696
26,203944
27,1631094
28,2544
29,203078
30,202331
31,201950
32,1627832
33,1630567
34,1630217
35,203497
36,202710
37,203468
38,1628973
39,203897
40,201142
41,204001
42,1630578
43,1628386
44,202681
45,1630581
46,1630596
47,1629028
48,101108
49,1627742
50,1628374
51,1626179
52,1628398
53,1630224
54,1626167
55,1629640
56,1630163
57,1628969
58,1626157
59,1630532
60,1627751
61,202685
62,1630178
63,1629639
64,202695
65,1629673
66,203114
67,202699
68,1629627
69,1627750
70,203924
71,1628381
72,1626156
73,203952
74,1627741
75,1628384
76,203991
77,203994
78,1629628
79,1627826
80,202691
81,203915
82,203932
83,203935
84,1630180
85,1631099
86,203110
87,203903
88,1629014
89,1630595
90,1630170
91,203084
92,201572
93,1629651
94,203482
95,1631097
96,1631093
97,1629020
98,1628989
99,1630200
100,200768
101,1628404
102,1629011
103,201144
104,1628415
105,1630529
106,1630183
107,202330
108,1627763
109,1629661
110,201143
111,1630168
112,1630175
113,203486
114,202711
115,1630591
116,1630193
117,1629012
118,1627747
119,203992
120,1630191
121,1629652
122,1631110
123,1630188
124,1626220
125,203500
126,1628401
127,1627827
128,1630245
129,1631117
130,203083
131,1628370
132,1631105
133,1630166
134,1631106
135,1626145
136,201567
137,1629634
138,1629631
139,1629001
140,1628365
141,1629626
142,202704
143,1630538
144,203484
145,1626181
146,1627936
147,1630583
148,1627736
149,1629684
150,1630208
151,1631114
152,1628449
153,1628997
154,1630543
155,1628960
156,1630537
157,1629622
158,1630256
159,201976
160,203937
161,1630197
162,1630172
163,1630173
164,1629655
165,203471
166,1630558
167,1628380
168,1630165
169,1626166
170,1628978
171,203493
172,204456
173,1629667
174,1629659
175,1626196
176,1629723
177,1630559
178,1628467
179,200782
180,1629060
181,1630526
182,1626192
183,1630631
184,203552
185,1629656
186,1630164
187,1630167
188,1626153
189,1630587
190,1629216
191,1629611
192,1629647
193,1628379
194,1630544
195,1630214
196,1630228
197,203496
198,203095
199,1629629
200,202692
201,1628998
202,1629234
203,1628470
204,201580
205,201569
206,1628984
207,201145
208,1628418
209,203925
210,1628964
211,1629680
212,1631109
213,1629675
214,1630182
215,1630533
216,1630174
217,203939
218,1629614
219,1629643
220,201565
221,1630557
222,1630560
223,1626158
224,203200
225,1631222
226,1630230
227,1629632
228,201587
229,1626168
230,1626149
231,1631103
232,203926
233,1629006
234,1627752
235,1629646
236,1630198
237,1629021
238,1629642
239,1628975
240,203109
241,1629111
242,1631119
243,1629003
244,1631101
245,1630528
246,203473
247,1627777
248,1631100
249,1626224
250,1627814
251,1630194
252,201937
253,1629002
254,1629638
255,1628966
256,203914
257,1630586
258,203488
259,203967
260,1629013
261,1630598
262,1629637
263,204060
264,201599
265,1627739
266,1629130
267,1629026
268,1629676
269,1630692
270,1630171
271,1630699
272,1631104
273,1630579
274,202709
275,1629162
276,203457
277,201152
278,1629726
279,1629731
280,1631172
281,1631223
282,1629670
283,1630573
284,1631132
285,1630700
286,201988
287,1630552
288,202083
289,1628988
